Language,Number of speakers,Margin of Error,"Spoke English less than 
""Very Well""",Margin of Error
English,"225,488,799","83,368",, 
Spanish,"34,183,622","52,636","16,120,749","54,210"
Ladino,125,98,23,38
French,"1,358,816","14,743","292,422","5,842"
French Creole,"621,135","13,313","273,888","7,401"
Italian,"807,010","10,810","231,736","5,267"
Portuguese,"678,334","11,600","289,899","7,246"
German,"1,120,670","12,812","196,957","4,113"
Yiddish,"162,511","5,616","50,957","2,997"
Pennsylvania Dutch,"117,547","5,840","38,494","2,884"
Dutch,"132,191","4,206","22,358","1,715"
Afrikaans,"18,943","1,653","1,781",384
Frisian,919,324,78,60
Swedish,"56,713","2,979","6,842",856
Danish,"29,728","2,126","4,025",641
Norwegian,"41,197","2,287","5,781",655
Icelandic,"5,170",849,798,476
Faroese,148,100,28,47
Greek,"340,028","9,204","90,360","3,633"
Russian,"846,233","13,514","430,850","8,004"
Polish,"632,362","12,763","274,693","6,910"
Serbocroatian,"152,331","6,705","71,216","3,743"
Croatian,"57,565","3,663","19,912","1,626"
Serbian,"63,833","4,113","24,037","2,239"
Bielorussian,"1,363",436,716,257
Ukrainian,"142,711","6,414","68,487","3,641"
Czech,"55,382","2,336","13,253","1,228"
Lusatian,189,133,78,113
Slovak,"32,227","2,364","8,666","1,063"
Bulgarian,"57,016","3,514","21,129","1,659"
Macedonian,"22,134","2,294","7,715","1,185"
Slovene,"7,029",988,"2,014",549
Armenian,"220,922","7,558","98,041","4,096"
Persian,"359,176","9,536","137,765","4,990"
Hindi,"531,313","10,495","114,070","4,656"
Gujarati,"301,658","8,943","108,352","5,093"
Urdu,"335,213","9,621","102,364","4,602"
India nec2,"81,125","5,875","29,167","2,688"
Bengali,"190,090","6,733","79,837","3,695"
Panjabi,"208,387","7,698","91,416","4,614"
Marathi,"54,223","2,599","7,610","1,055"
Bihari,151,144,115,129
Rajasthani,464,286,103,80
Oriya,"4,790",845,"1,013",401
Assamese,"1,215",449,56,56
Kashmiri,833,368,202,151
Nepali,"34,139","2,990","14,857","2,047"
Sindhi,"6,907","1,034","1,398",423
Pakistan nec 2,"13,092","2,184","5,560","1,334"
Sinhalese,"22,278","2,330","6,904","1,200"
Romany,"2,260",775,345,216
Jamaican Creole,"19,872","3,141","5,870","2,324"
Krio,"6,900","1,358","1,839",631
Hawaiian Pidgin,108,101, , 
Pidgin,"2,527",691,390,268
Gullah,352,361,18,32
Saramacca,112,112,46,71
Catalonian,"1,917",505,292,158
Romanian,"146,840","6,050","58,351","3,126"
Rhaeto-romanic,39,64, , 
Welsh,"2,452",517,262,135
Irish Gaelic,"22,279","1,670","3,455",629
Scottic Gaelic,"1,445",353,31,33
Albanian,"125,220","6,363","57,358","3,605"
Lithuanian,"42,306","2,545","14,331","1,473"
Lettish,"16,149","1,622","3,794",687
Pashto,"15,788","2,400","5,849","1,044"
Kurdish,"12,982","2,291","5,564","1,050"
Balochi,268,376,18,30
Tadzhik,150,134,65,80
Chinese,"2,455,583","20,609","1,370,874","12,506"
Hakka,"1,086",386,537,251
"Kan, Hsiang",291,342, , 
Cantonese,"437,301","10,320","273,042","7,005"
Mandarin,"381,121","10,132","199,507","6,442"
Fuchow,"2,671",730,"2,282",630
Formosan,"76,131","3,306","45,426","2,302"
Wu,"2,477",557,"1,722",460
Japanese,"457,033","7,972","211,017","5,822"
Korean,"1,048,173","13,449","610,340","8,799"
"Mon-Khmer, Cambodian","182,387","6,650","98,764","4,369"
Hmong,"185,401","5,616","88,556","3,655"
Thai,"139,845","4,572","72,998","3,157"
Laotian,"147,865","6,238","74,772","3,481"
Vietnamese,"1,204,454","17,809","731,555","12,113"
Kazakh,"1,006",513,404,276
Kirghiz,131,135,53,60
Karachay,698,331,248,193
Uighur,"3,190",911,"2,069",797
Azerabaijani,"1,282",458,492,218
Turkish,"107,405","5,588","44,045","3,103"
Turkmen,221,261,14,23
Mongolian,"8,430","1,528","5,164","1,055"
Tungus,326,271,198,219
Dravidian,"2,146",708,274,189
Gondi,76,64, , 
Telugu,"171,495","5,658","35,703","2,040"
Kannada,"35,902","2,307","5,229",964
Malayalam,"112,378","4,849","35,254","2,399"
Tamil,"130,731","5,047","22,220","2,150"
Munda,"2,334",771,587,339
Tibetan,"9,764","1,679","6,096","1,364"
Burmese,"35,281","3,910","22,295","3,121"
Karen,"3,924","1,182","3,596","1,134"
Kachin,178,154,109,127
"Miao-yao, Mien","17,421","1,974","7,996","1,140"
Paleo-siberian,44,32, , 
Tagalog,"1,444,324","16,857","455,975","9,514"
Indonesian,"60,657","3,805","28,111","2,145"
Achinese,32,53, , 
Balinese,272,159,108,70
Cham,891,479,376,262
Javanese,441,218,268,178
Malagasy,935,404,243,196
Malay,"12,440","1,566","4,191",804
Bisayan,"23,644","2,185","8,981","1,491"
Sebuano,"10,027","1,190","3,321",638
Pangasinan,"2,144",648,"1,088",441
Ilocano,"76,896","4,252","40,764","2,825"
Bikol,812,347,210,121
Pampangan,"5,432","1,226","1,884",564
Micronesian,"5,514","1,397","3,035",951
Carolinian,187,236,14,21
Chamorro,"17,985","1,664","2,856",573
Gilbertese,173,124,102,100
Kusaiean,"1,056",564,526,360
Marshallese,"10,739","1,930","5,672","1,329"
Mokilese,448,282,205,196
Mortlockese,40,63,40,63
Palau,"4,153","1,175","1,491",590
Ponapean,"2,347",720,981,393
Trukese,"5,434","1,465","2,728",801
Ulithean,39,71,39,71
Woleai-ulithi,51,62, , 
Yapese,795,392,282,186
Melanesian,973,369,464,304
Polynesian,723,468,163,141
Samoan,"57,368","3,813","14,396","1,328"
Tongan,"26,322","2,865","8,411","1,251"
Niuean,17,28, , 
Tokelauan,290,275,193,208
Fijian,"3,701",987,"1,226",400
Marquesan,605,500,392,412
Rarotongan,124,137, , 
Maori,659,278,115,85
Nukuoro,141,154, , 
Hawaiian,"24,042","2,094","2,190",405
Navajo,"170,822","4,710","39,724","2,566"
Aleut,"1,236",374,235,134
Pacific Gulf Yupik,8,13, , 
Eskimo,"2,168",391,552,164
Inupik,"5,580",616,"1,453",254
St Lawrence Island Yupik,993,256,392,171
Yupik,"18,626",927,"6,896",606
Algonquian,288,146,57,65
Arapaho,"1,087",366,13,22
Atsina,45,35, , 
Blackfoot,"1,970",577,217,149
Cheyenne,"2,399",567,77,62
Cree,951,392,83,66
Delaware,146,123,37,67
Fox,727,195,161,143
Kickapoo,"1,141",293,476,160
Menomini,946,381,375,248
French Cree,75,71,53,66
Miami,168,275,85,139
Micmac,230,159,25,28
Ojibwa,"6,986",867,788,277
Ottawa,312,174,34,43
Passamaquoddy,982,254,60,46
Penobscot,144,98,8,13
Abnaki,86,89, , 
Potawatomi,824,271,82,67
Shawnee,321,203,20,35
Yurok,491,387,8,17
Kutenai,200,124,65,70
Makah,176,96,53,51
Kwakiutl,85,62,21,32
Nootka,10,18, , 
Clallam,146,143,2,5
Coeur D'alene,174,126, , 
Columbia,17,27, , 
Cowlitz,110,179,91,146
Salish,"1,233",362,282,178
Okanogan,284,215,31,51
Puget Sound Salish,207,119,99,103
Quinault,128,202, , 
Haida,118,72,23,38
Athapascan,"1,627",351,318,148
Ahtena,18,27, , 
Ingalit,127,164, , 
Koyukon,58,53,7,11
Kuchin,"1,217",422,302,189
Tanaina,11,24, , 
Chasta Costa,84,101,5,10
Hupa,174,175, , 
Apache,"14,012","1,527",495,185
Kiowa,"1,274",466,122,72
Tlingit,"1,026",277,84,55
Mountain Maidu,319,176,22,38
Northwest Maidu,32,53,32,53
Sierra Miwok,216,261, , 
Nomlaki,38,49, , 
Wintun,24,26, , 
Foothill North Yokuts,407,204,111,113
Tachi,45,74,26,43
Santiam,50,81, , 
Siuslaw,6,9, , 
Klamath,95,73,26,44
Nez Perce,942,329,114,83
Sahaptian,"1,654",589,102,67
Upper Chinook,58,54,6,10
Tsimshian,68,66, , 
Achumawi,68,61, , 
Atsugewi,15,26, , 
Karok,700,373,38,44
Pomo,648,318,96,95
Washo,227,152,22,30
Cocomaricopa,44,49,10,16
Mohave,330,193,21,25
Yuma,172,97,55,59
Diegueno,228,138,139,123
Delta River Yuman,483,191,110,98
Havasupai,90,101,47,79
Walapai,458,197,22,19
Yavapai,139,90, , 
Chumash,39,69,39,69
Tonkawa,29,36, , 
Yuchi,4,10, , 
Crow,"3,962",523,261,202
Hidatsa,806,341,36,38
Mandan,104,96,40,57
Dakota,"18,804","1,363","1,855",402
Chiwere,60,52, , 
Winnebago,"1,340",357,84,67
Kansa,7,10, , 
Omaha,457,192,9,13
Osage,260,153,53,59
Ponca,131,96,9,14
Alabama,165,88,33,39
Choctaw,"10,368","1,180","2,430",582
Mikasuki,188,131,43,63
Koasati,59,53,4,8
Muskogee,"5,072",708,995,226
Chetemacha,89,64,19,32
Keres,"13,073","1,181",810,234
Iroquois,76,71, , 
Mohawk,"1,423",494,166,99
Oneida,527,335,309,295
Onondaga,239,180,7,14
Cayuga,6,12, , 
Seneca,"1,353",446,152,97
Tuscarora,179,152,18,27
Cherokee,"12,320","1,264","2,012",488
Arikara,103,83, , 
Caddo,51,64,12,21
Pawnee,122,111,20,28
Wichita,242,175,39,49
Comanche,963,341,102,114
Mono,349,362, , 
Paiute,"1,638",568,193,104
Northern Paiute,12,21, , 
Chemehuevi,15,27, , 
Ute,"1,625",467,85,53
Shoshoni,"2,512",435,182,83
Hopi,"6,776","1,473","1,274",385
Cahuilla,139,148, , 
Cupeno,11,20, , 
Luiseno,327,203,14,26
Serrano,5,10, , 
Pima,"8,190","1,297","1,204",436
Yaqui,425,158,43,40
Tiwa,"2,269",604,73,78
Tewa,"5,123",864,707,361
Towa,"2,192",578,606,225
Zuni,"9,432","1,996","1,341",944
Chinook Jargon,644,736,114,119
American Indian,"8,888","1,076","1,487",382
Jicarilla,455,155,66,61
Chiricahua,457,313, , 
Spokane,20,25,8,15
Hungarian,"94,125","3,675","27,473","1,825"
Arabic,"760,505","15,845","263,704","8,573"
Hebrew,"216,615","7,104","40,291","2,704"
Amharic,"146,337","6,535","64,140","3,196"
Berber,"1,475",550,455,222
Chadic,"5,091","1,254","1,533",673
Cushite,"90,434","5,808","50,577","3,806"
Sudanic,"8,966","1,835","5,728","1,391"
Nilotic,"4,964","1,399","1,577",507
Nilo-hamitic,525,357,223,180
Nubian,129,124,34,56
Saharan,19,30, , 
Khoisan,19,32, , 
Swahili,"72,404","4,763","15,897","1,793"
Bantu,"42,098","3,028","11,507","1,977"
Mande,"27,657","3,314","11,719","1,747"
Fulani,"22,469","2,407","10,544","1,569"
Gur,849,494,225,242
"Kru, Ibo, Yoruba","267,174","9,400","54,983","3,218"
Efik,"5,497","1,091",613,239
Mbum,340,394,127,149
African,"13,767","1,970","4,627","1,076"
Finnish,"25,806","1,589","4,782",618
Estonian,"5,938",734,"1,484",348
Lapp,23,31,5,8
Other Uralic languages,31,51,31,51
Caucasian,"6,870","1,607","3,294",897
Basque,"1,649",473,527,216
Syriac,"61,272","5,133","25,099","2,476"
Aztecan,"1,327",485,"1,035",389
Sonoran,63,62, , 
Misumalpan,127,201,127,201
Mayan languages,"6,832","1,277","5,257","1,084"
Tarascan,470,395,414,381
Mapuche,214,289,36,60
Oto - Manguen,"2,596",947,"2,147",878
Quechua,935,420,437,241
Aymara,63,76,20,32
Arawakian,"1,960",641,614,331
Chibchan,48,58,24,40
Tupi-guarani,456,306,248,163
Uncodable Entries,"4,889",621,394,153